,序列,书名,作者,仙草,粮草,干草,枯草,毒草
0,6564,影城大亨,镔铁,10,1,0,0,4
1,6565,杀手房东俏房客,老施,2,0,1,0,2
2,6566,官神(问鼎),何常在,17,0,2,0,0
3,6567,都市少帅,一起成功,1,0,0,0,1
4,6568,龙域,众生,5,1,0,0,4
5,6569,黄金瞳(典当),打眼,25,4,1,0,1
6,6570,权倾一世,晨光路西法,2,0,0,0,1
7,6571,少年药王,逐没,6,0,0,0,8
8,6572,重生之官路商途,更俗,38,0,3,0,5
9,6573,超级黄金手,小小羽,4,1,0,1,2
10,6574,布衣官道,寂寞读南华,7,0,0,0,0
11,6575,天才医生,柳下挥,11,0,0,0,2
12,6576,功夫神医,步行天下,2,0,0,0,0
13,6577,坏蛋是怎样炼成的Ⅱ,六道,9,0,0,2,2
14,6578,坏蛋是怎样炼成的Ⅰ,六道,4,0,0,1,1
15,6579,掌权者,一三五七九,3,0,0,0,0
16,6580,超级兵王,明朝无酒,1,0,0,0,0
17,6581,极品太子爷,浮沉,2,0,0,0,1
18,6582,财色,叨狼,3,0,0,0,1
19,6583,小地主,如莲如玉,3,0,0,0,0
20,6584,我的警花老婆,尼姑庵的和尚,5,0,0,0,0
21,6585,重生之霸道人生,隔壁小王,1,0,0,0,0
22,6586,都市之空,李兴禹,3,0,0,0,0
23,6587,攀上漂亮女院长(我和美女院长),无相,1,0,0,0,0
24,6588,最佳导演,机器人瓦力,5,0,0,0,0
25,6589,极品天王,我本疯狂,1,0,0,0,0
26,6590,生肖守护神,唐家三少,2,0,2,0,0
27,6591,平步青云,御史大夫,1,0,0,0,0
28,6592,红男绿女,常书欣,2,0,0,0,0
29,6593,天才相师,打眼,6,0,1,0,0
30,6594,超级搜鬼仪,我丑到灵魂深处,2,1,0,0,0
31,6595,超级黄金左手,罗晓,2,0,0,0,0
32,6596,扶摇,断刃天涯,2,0,0,0,0
33,6597,官道之色戒,低手寂寞,25,0,1,1,3
34,6598,都市极品风水师,白马神,0,0,0,0,0
35,6599,超能全才,翼V龙,2,0,0,0,0
36,6600,超级学生,公子诺,0,0,0,0,0
37,6601,女总裁爱上我(混迹在美女如云公司),天堂羽,6,2,0,0,0
38,6602,超级医生,叶天南,3,0,0,0,0
39,6603,官声,格鱼,1,0,0,0,0
40,6604,超级水晶,小小米米羊,0,0,0,0,0
41,6605,重生之官路浮沉,浮沉,0,1,0,0,0
42,6606,重生之官道,录事参军,12,1,1,0,0
43,6607,极品神医,江边傩送,0,0,0,0,0
44,6608,独占星光,脑袋空空如也,0,0,1,0,0
45,6609,官路迢迢,Robin谢,0,2,1,0,0
46,6610,超级电能,不怕冷的火焰,1,1,0,1,1
47,6611,超级强兵,九月阳光,2,0,0,0,0
48,6612,极品房东,大头,0,0,0,0,0
49,6613,重生之二代富商,小小羽,0,0,0,0,0
50,6614,大神医,落地为仙,1,0,0,0,1
51,6615,邪气凛然,跳舞,10,0,0,0,0
52,6616,最强黑客,顾大石,3,0,0,0,0
53,6617,重生之心动,初恋璀璨如夏花,24,0,1,0,2
54,6618,符宝,曾经拥有的方向感,0,0,0,0,0
55,6619,天生神匠,逐没,0,0,0,0,0
56,6620,超级强者,我本疯狂,0,0,0,1,0
57,6621,绯闻之王,期待崛起,2,0,0,0,0
58,6622,近身保镖,柳下挥,9,0,0,0,0
59,6624,留情刀俏美人,唯吾神音,0,0,0,0,0
60,6625,重生之暗手,勇冠山君,0,0,0,0,0
61,6626,都市修仙,纸上飞雪,0,1,0,0,1
62,6627,我的刁蛮上司,可怜小猫,0,0,2,0,0
63,6628,医道特种兵,丹古先生,0,1,0,0,0
64,6629,重生之我有一双透视眼,长生苹果,0,0,0,0,0
65,6630,打怪戒指,马可菠萝,1,0,0,0,1
66,6631,最强护美,九殇,0,1,0,0,0
67,6632,校花的极品保镖,军用刺刀,0,0,0,0,1
68,6633,超脑黑客,疯狂小强,3,0,0,0,0
69,6634,都市百草王,我就是龙,0,0,0,0,0
70,6635,我家的剑仙大人,伴读小牧童,6,0,0,0,0
71,6636,都市神话,马上将军,1,0,0,0,0
72,6637,超级天赋,相国寺方丈,0,0,0,0,0
73,6638,都市邪王,烈焰滔滔,0,0,0,0,0
74,6639,韩娱之梦,静候轮回,0,0,0,0,0
75,6640,妖孽保镖,青狐妖,1,0,0,0,0
76,6641,屠神之路,罗霸道,0,0,0,0,0
77,6642,纨绔才子,墨武,2,0,0,0,0
78,6643,超极品太子,原始罪孽,1,0,0,0,2
79,6644,特种兵痞在校园,艾连,0,0,0,0,0
80,6645,翡翠王,步行天下,0,0,0,0,1
81,6646,桃运鬼差,方尖塔,1,0,0,0,0
82,6647,贴身高手,明日复明日,0,0,0,0,1
83,6648,我的极品大小姐,属龙语,0,0,0,0,0
84,6649,超级大忽悠,常书欣,4,0,0,0,0
85,6650,极品学生,腾少,0,0,0,0,1
86,6651,特种狂龙,艾连,0,0,0,0,0
87,6652,龙潜都市(花都风水师),笑痴醉红尘,0,0,0,0,0
88,6653,花都兽医,五志,1,0,0,0,0
89,6654,重生1990,斑马,0,0,0,0,0
90,6656,农夫三拳,风流,0,0,0,0,0
91,6657,隐身高手在校园(暧昧在校园),造化城主,0,0,0,0,0
92,6658,都市透视眼,红肠发菜,0,0,0,0,1
93,6659,变身潜规则,水月倾城,0,0,0,0,0
94,6660,都市护花强少,刘家小二哥,0,0,0,0,0
95,6661,娱乐圈外挂光环,梵辰,0,0,0,0,0
96,6662,超级主神格,魔戏上帝,0,0,0,0,1
97,6663,全才保镖,万雨千秋,0,0,0,0,1
98,6664,超级护花保镖(全能保镖),笑笑星儿,0,0,0,0,0
99,6665,超级宠物制造池,鹏飞超人,1,0,0,0,0
100,6667,史上第一混乱,张小花,22,0,0,0,0
101,6668,纸神,君不见,2,0,0,1,0
102,6669,美女总裁的贴身保安,超级糊涂神,0,0,0,0,0
103,6670,重生之辉煌青春,月逸清辉,0,0,0,0,0
104,6671,狩猎花都,我本疯狂,0,0,0,0,0
105,6672,神职,短刃,0,0,1,0,0
106,6673,鬼谷邪医(偷香邪医),陌醒,1,0,0,0,0
107,6674,与美女老总的暧昧生活,梁不凡,0,0,0,0,0
108,6675,玩赏天下,十月无涯,0,0,0,0,0
109,6676,地师,徐公子胜治,6,1,0,0,0
110,6677,疯狂修复,孓无我,0,0,0,0,0
111,6678,异体,风上忍,2,0,0,0,0
112,6679,都市无敌特种兵,红苕炖地瓜,0,0,0,0,0
113,6680,老婆爱上我,傲无常,3,1,0,0,1
114,6681,全才狂徒(我的美女姐妹花),卧南斋,0,0,0,0,0
115,6682,单身女上司(撩人女上司),其然,0,0,0,0,0
116,6683,全职业天才,疯狂小马甲,0,0,0,0,0
117,6684,情与血,兰帝魅晨,0,0,0,0,0
118,6685,保镖横行都市,诗中伏笔(X六叶),0,0,0,0,0
119,6686,纨绔疯子,鹅是老五,0,0,0,0,0
120,6687,很纯很暧昧前传(重生追美记),鱼人二代,5,0,1,0,1
121,6688,天王,跳舞,5,0,0,0,0
122,6689,香色倾城,常书欣,1,0,1,0,0
123,6690,拣宝,烛,2,0,0,0,0
124,6691,空速星痕,唐家三少,0,0,1,0,1
125,6692,极品颠覆之叶河图,洛水河图,0,0,0,0,0
126,6693,史上第一混搭,张小花,3,0,0,0,0
127,6694,我的老婆是妖精,浪漫烟灰,0,0,0,0,0
128,6695,疯狂的硬盘(黑客江湖),银河九天,2,0,0,0,0
129,6696,暧昧,鹅考,0,0,0,0,0
130,6697,爱上小姨,长乐居士,0,0,0,0,0
131,6698,天擎,撒冷,0,0,0,0,0
132,6699,位面官商,大大的海蜇,0,0,1,0,0
133,6700,超级神偷,鱼伦,0,0,0,0,0
134,6701,与婠婠同居的日子,李古丁,4,0,0,0,0
135,6702,合租奇缘,玄雨,0,0,0,0,0
136,6703,混也是一种生活,云天空,2,0,0,0,0
137,6704,我的异姓妹妹,雕雕,2,0,0,0,0
138,6705,老子是癞蛤蟆,烽火戏诸侯,10,0,0,0,2
139,6706,武林高手在校园,墨武,4,0,0,0,0
140,6707,神偷化身,蚕茧里的牛,1,0,0,0,0
141,6708,陈二狗的妖孽人生,烽火戏诸侯,4,0,0,0,0
142,6709,妇科男医师,光头二叔,1,0,0,0,0
143,6710,贩罪,三天两觉,10,0,0,0,2
144,6711,大亨是怎么炼成的,走过青春岁月,0,0,1,0,0
145,6712,桃花戒指,长生剑,0,0,0,0,0
146,6713,风雨传说,周行文,0,0,0,0,0
147,6714,极品草根太子,贼眉鼠眼,0,0,0,0,0
148,6715,大亨传说,黯然销魂,1,0,0,0,0
149,6716,最强高校,盲君,0,0,0,0,0
150,6717,杀手之王,恨无痕,0,0,0,0,0
151,6718,重活了,尝谕,17,1,0,4,2
152,6719,梦想成真,天堂羽,0,0,0,0,0
153,6720,天警,煮酒论咖啡,0,0,0,0,0
154,6721,三分钟英雄,十格,0,0,0,0,0
155,6722,夜明珠,伯伦希尔,0,0,0,0,0
156,6723,我的美女老总,李兴禹,0,0,0,0,0
157,6724,读心高手在都市,兰帝魅晨,0,0,0,0,0
158,6725,诱惑,鹅考,1,0,0,0,0
159,6726,一代宗师都市重生,二蛇,0,0,0,0,0
160,6727,我就是妖怪,张小花,0,0,0,0,0
161,6728,一路彩虹,月关,2,0,0,0,0
162,6729,厄运之手,李雪夜,0,0,0,0,0
163,6730,重生传奇,紫箫,1,0,0,0,0
164,6731,重生娱乐之王,傅啸尘,0,0,0,0,2
165,6732,不灭传说,黑雨伞,0,0,1,0,0
166,6733,星照不宣,蝴蝶蓝,1,0,0,0,1
167,6734,重生之医技强国,夜的邂逅,0,0,0,0,0
168,6735,大上海,浮沉,0,0,0,0,0
169,6736,重生之学生时代,大天使,0,0,0,0,0
170,6737,加官晋爵,午夜浓茶,0,0,0,0,0
171,6738,超级鉴定师,法宝专家,0,0,0,0,0
172,6739,仙医都市行,夜的邂逅,0,0,0,0,0
173,6740,都市葫芦仙,李家老店,0,0,0,0,0
174,6741,重生传说,周行文,1,0,0,0,2
175,6742,大明星爱上我,鹅考,1,0,0,0,0
176,6743,市长大人,尝谕,5,0,0,0,0
177,6744,我的美女黑帮老婆,李兴禹,0,0,0,0,0
178,6745,迷失在地球的外星综合舰,冷雪冰川,0,0,0,0,0
179,6746,兼职丹医,三羊猪猪,0,0,0,0,0
180,6747,我的大小魔女,鹅考,0,0,0,0,0
181,6748,暗房,格子里的夜晚,0,0,0,0,0
182,6749,超级掌柜,萧爷,0,0,0,0,0
183,6750,我的美女情劫,李兴禹,0,0,0,0,0
184,6751,巅峰黑客,莫水,0,0,0,0,0
185,6752,官之图,骑鹤人,0,0,0,0,0
186,6753,至尊小农民,曾呓,1,0,0,0,0
187,6754,艳遇谅解备忘录,撒冷,0,1,0,0,1
188,6755,都市之纵意花丛,醉想你,0,0,0,0,0
189,6756,重生之流年,埃兰路,1,0,0,0,0
190,6757,大艺术家,七七家d猫猫,0,1,0,0,0
191,6758,都市大财子,泣森,0,0,0,0,0
192,6759,极品偷心贼,徐亮雨,0,0,0,0,0
