,序列,书名,作者,仙草,粮草,干草,枯草,毒草
0,1090,龙语兽修,石三,34,4,2,3,6
1,1092,龙魂剑圣,暗夜幽殇,40,8,2,2,6
2,1094,龙域,众生,79,11,5,2,15
3,1097,齐天传,楚阳冬,81,10,8,7,22
4,1098,黑魔法师,贱宗首席弟子,88,8,3,8,17
5,1100,黑暗文明,古羲,226,20,13,9,45
6,1104,黄龙真人异界游,神见,100,9,3,5,22
7,1105,鸿途记,抽刀鱼,59,7,2,1,13
8,1107,黑旗,紫钗恨,57,6,8,5,8
9,1108,黑暗帝国,无境界,48,9,7,5,14
10,1109,魔装,三生蘸酱,79,8,2,2,4
11,1115,魔运苍茫,瑞根,90,12,3,0,6
12,1116,魔王神官和勇者美少女Ⅰ+Ⅱ+Ⅲ,肥面包,659,16,20,19,43
13,1119,魔葫,宝石猫,62,6,2,7,11
14,1134,魔剑录,残月悲梦,46,7,1,3,17
15,1135,魔机传说,铅笔刀,64,9,2,2,10
16,1136,魔兽之最终召唤,Best Man,72,9,5,5,15
17,1137,魔兽多塔之异世风云(多塔界),薛定谔牛(蚕茧里的牛),108,11,5,7,26
18,1138,都市少帅,一起成功,112,7,4,7,51
19,1149,官神(问鼎),何常在,384,22,16,20,37
20,1150,风魔,长风,78,11,15,8,44
21,1152,我的美女老师,黑夜de白羊,288,11,12,17,45
22,1153,仙逆,耳根,1777,69,42,72,143
23,1154,随身带着异形王后,龙青衫,153,15,10,8,34
24,1165,末日蟑螂,伟岸蟑螂,749,28,18,26,76
25,1166,1895淘金国度,简牍,78,12,6,10,23
26,1167,杀手房东俏房客,老施,132,24,6,13,40
27,1168,影城大亨,镔铁,75,10,11,9,28
28,1169,道,食堂包子,174,13,7,14,16
29,1180,财色,叨狼,168,13,4,3,18
30,1181,邪影本纪,邪影,227,13,8,6,22
31,1182,都市雷行,加烟儒相,50,7,4,6,13
32,1184,天生神医,了了一生,110,16,3,0,19
33,1185,神霄煞仙,半块铜板,95,11,7,4,18
34,1194,官居一品,三戒大师,634,28,18,50,39
35,1195,极品太子爷,浮沉,225,19,5,14,35
36,1196,网游之天下无双,失落叶,369,14,19,15,36
37,1197,永生,梦入神机,525,27,22,24,74
38,1198,杀神,逆苍天,406,27,17,22,57
39,1207,斗破苍穹,天蚕土豆,1596,104,80,123,387
40,1208,武逆乾坤,属龙语,94,20,8,8,26
41,1209,圣王,梦入神机,274,25,16,21,37
42,1210,超级兵王,明朝无酒,87,15,4,5,25
43,1211,长生不死,观棋,543,26,14,16,46
44,1218,湛蓝徽章,Deathstate,310,26,10,12,27
45,1219,吞噬星空,我吃西红柿,1429,53,37,53,120
46,1220,刺明,拉丁海十三郎,55,9,5,4,35
47,1221,网游之纵横天下,失落叶,398,16,15,17,33
48,1222,掌权者,一三五七九,76,14,7,8,12
49,1223,江山美人志,瑞根,204,12,12,13,18
50,1224,武神,苍天白鹤,278,12,10,13,32
51,1230,药鼎仙途,寒香寂寞,66,9,4,5,16
52,1231,法相仙途,泛东流,191,11,5,13,18
53,1232,少女契约之书,放开那只女王,289,20,12,12,66
54,1234,1908远东狂人,丹丘,172,24,9,19,26
55,1246,化星,青翼蝠王,56,8,3,2,12
56,1249,功夫神医,步行天下,56,8,7,10,22
57,1250,天才医生,柳下挥,448,15,22,32,38
58,1253,坏蛋是怎样炼成的Ⅰ,六道,212,16,10,13,105
59,1254,坏蛋是怎样炼成的Ⅱ,六道,191,22,10,9,67
60,1255,异界流氓天尊,狂奔的蜗牛,95,8,14,13,66
61,1264,重启家园,九头猫怪,229,14,10,9,40
62,1265,布衣官道,寂寞读南华,191,18,9,19,24
63,1266,君临,开荒,184,18,12,9,31
64,1267,超级黄金手,小小羽,125,8,7,8,15
65,1268,重生之官路商途,更俗,793,45,14,37,66
66,1269,异世邪君,风凌天下,628,36,23,36,60
67,1270,异世药神,暗魔师,85,9,5,6,17
68,1271,满愿石,扎姆卡特,63,7,5,8,11
69,1279,星际游轮,古剑锋,205,11,5,7,14
